experiment,path,type,n_horizons
baseline_ridge_simple,saved_models\baseline_ridge_simple_model.pkl,multioutput,
h1_lags_rollings_ridge,saved_models\h1_lags_rollings_ridge_model.pkl,multioutput,
h2_funnel_ridge,saved_models\h2_funnel_ridge_model.pkl,multioutput,
h3_time_features_ridge,saved_models\h3_time_features_ridge_model.pkl,multioutput,
h4_combo_ridge,saved_models\h4_combo_ridge_model.pkl,multioutput,
h5_hist_gbdt_combo,saved_models\h5_hist_gbdt_combo_model.pkl,multioutput,
h6_hierarchy_ridge,saved_models\h6_hierarchy_ridge_model.pkl,multioutput,
h7_ridge_per_horizon,saved_models\h7_ridge_per_horizon_per_horizon,per_horizon,10.0
h9_combo_with_global_calibration,saved_models\h9_combo_with_global_calibration_model.pkl,multioutput,
h10_combo_with_horizon_calibration,saved_models\h10_combo_with_horizon_calibration_model.pkl,multioutput,
